gene_names,ApoE.2,ApoE.3,ApoE.4,ApoE.5,ApoE.6,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cyp21a1,44.78703301,106.2762647,72.23132908,44.94692217,50.10682031,57.63869999,2005.381832,53.53047211,404.3367701,64.3270979,211.3239937,-3.021566531,0.787231157,-3.838220201,0.000123929,0.037029227
9030025P20Rik,571.2459304,411.938088,402.4316906,442.1805316,145.7652955,166.0776101,176.5128263,229.8661449,189.7327199,218.4441033,275.2009518,1.0100002,0.264884876,3.812977983,0.000137302,0.040213332
Fam167a,61.68780018,83.70431468,306.7486313,66.81299242,131.1887659,30.28474067,31.38005801,41.98468401,39.08351907,50.92561917,65.77450165,1.751249938,0.459837226,3.808412712,0.000139862,0.040213332
Pole2,89.57406601,110.0382564,100.3734053,98.39731611,132.099799,74.246461,68.64387691,72.42357991,61.82302108,84.42931599,89.24986037,0.5676967,0.149179955,3.805448933,0.000141547,0.040213332
Trim63,17.74580553,1.880995836,6.566484461,1.21478168,1.822066193,140.677505,14.70940219,235.1142304,3.553047189,4.020443618,34.59092778,-3.752189097,0.987930167,-3.798030692,0.00014585,0.040767502
Dnahc8,851.7986655,1625.180402,1817.040057,1824.602084,394.4773308,279.4011559,368.7156817,469.1788438,512.3494046,790.687245,771.8321772,1.428659945,0.37663221,3.793249508,0.000148689,0.040901171
Pqlc3,1039.397181,1735.218658,2068.442605,1616.874417,1560.599694,1027.727329,961.9949035,1125.189531,1070.888423,1007.7912,1285.73371,0.626657443,0.165868319,3.778041808,0.000158066,0.042801403
Zfp185,143.656521,221.9575086,166.9763192,276.9702231,255.089267,372.2092321,497.1777942,637.1175798,284.9543845,318.9551937,305.297836,-0.988576755,0.262561881,-3.765119103,0.00016647,0.044383387
Atg2a,2629.759372,2214.872596,2385.509998,2391.905129,2218.36559,3018.704796,2908.539127,3264.309182,2522.663504,3015.332714,2626.30388,-0.314262341,0.083660806,-3.756386725,0.000172384,0.044588342
Chst1,983.6246494,635.7765924,591.9216707,750.7350784,1125.125874,1717.437874,1944.58297,1373.948784,1375.739871,1424.577189,1200.758827,-0.938841227,0.250965343,-3.740919828,0.000183348,0.046726778
